positionName,company,location,min_salary,max_salary,skills,skill_categories,skills_count_single
Internal Audit - Data Science Senior Associate,Fannie Mae,"Reston, VA",94000.0,122000.0,"['python', 'r', 'javascript', 'statistics', 'data science', 'finance', 'critical thinking', 'communication skills']","[0, 0, 0, 1, 2, 10, 10, 10]","[3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]"
"Software Engineer, Machine Learning",Meta,"New York, NY",117000.0,117000.0,"['python', 'java', 'javascript', 'php', 'perl', 'shell scripts', 'machine learning', 'recommendation systems', 'artificial intelligence', 'data mining', 'tensorflow', 'pytorch', 'physics']","[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 10]","[6.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
Senior Fullstack AI Engineer,TextLayer,United States,120000.0,130000.0,"['python', 'llm', 'rag', 'ai/ml', 'ai engineering', 'vector databases', 'docker', 'terraform', 'github', 'ci/cd', 'flask']","[0, 2, 2, 2, 2, 2, 6, 6, 6, 6, 8]","[1.0, 0.0, 5.0, 0.0, 0.0, 0.0, 4.0, 0.0, 1.0, 0.0, 0.0]"
"Senior Business Data Analyst, Network Reporting",Techstra Solutions,"Chicago, IL",130060.442,162274.77399999998,"['data science', 'sql', 'excel', 'tableau', 'power bi', 'business intelligence']","[2, 5, 7, 7, 7, 7]","[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0]"
Sr. Data Scientist,Motorola Solutions,"Richardson, TX 75081",90000.0,144000.0,"['python', 'statistics', 'classification', 'regression', 'optimization', 'machine learning', 'data science', 'pandas', 'aws', 'azure', 'gcp', 'tableau', 'power bi', 'security']","[0, 1, 1, 1, 1, 2, 2, 3, 6, 6, 6, 7, 7, 10]","[1.0, 4.0, 2.0, 1.0, 0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 1.0]"
Manager - AI Engineering,Boston Scientific Corporation,"Arden Hills, MN",103700.0,197000.0,"['generative ai', 'llm', 'rag', 'data science', 'vector databases', 'spark', 'airflow', 'aws', 'azure', 'gcp', 'ci/cd', 'llmops', 'finance', 'compliance', 'security']","[2, 2, 2, 2, 2, 4, 4, 6, 6, 6, 6, 8, 10, 10, 10]","[0.0, 0.0, 5.0, 0.0, 2.0, 0.0, 4.0, 0.0, 1.0, 0.0, 3.0]"
Ai Engineer,PepsiCo,"Plano, TX 75024",106400.0,178100.0,"['python', 'java', 'c++', 'machine learning', 'generative ai', 'ai/ml', 'data science', 'aws', 'azure', 'communication skills']","[0, 0, 0, 2, 2, 2, 2, 6, 6, 10]","[3.0, 0.0, 4.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0]"
Data Science Analyst - Python and Machine Learning,Infosys,"Washington, NC",56000.0,85400.0,"['python', 'machine learning', 'llm', 'ai/ml', 'data science', 'data pipelines', 'sql', 'data visualization']","[0, 2, 2, 2, 2, 4, 5, 7]","[1.0, 0.0, 4.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
Senior ML Data Program Manager,Apple,"Cupertino, CA",165500.0,248700.0,"['python', 'machine learning', 'generative ai', 'data science', 'foundation models', 'data engineering', 'security', 'critical thinking']","[0, 2, 2, 2, 2, 4, 10, 10]","[1.0, 0.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
Android AI ML Engineer - On-Device,FocusKPI Inc.,"Mountain View, CA",166400.0,193440.0,"['java', 'kotlin', 'optimization', 'machine learning', 'ai/ml', 'data science', 'tensorflow', 'pytorch', 'data pipelines', 'aws', 'gcp', 'sagemaker', 'vertex ai', 'model deployment', 'compliance', 'security', 'federated learning']","[0, 0, 1, 2, 2, 2, 3, 3, 4, 6, 6, 6, 6, 8, 10, 10, 10]","[2.0, 1.0, 3.0, 2.0, 1.0, 0.0, 4.0, 0.0, 1.0, 0.0, 3.0]"
Moveworks AI Agent Developer (remote),Johnson Controls,"Houston, TX",124073.02619999998,221565.0641,"['artificial intelligence', 'compliance', 'data privacy']","[2, 10, 10]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
